ID,TypeOffre,PrixMensuel,Duree,DateDebut,DateFin,Statut,MembreID
1,CLASSIQUE,290.00,12,2024-01-15,2025-01-15,ACTIF,1
2,JEUNE,240.00,6,2024-02-01,2024-08-01,ACTIF,2
3,SANS_ENGAGEMENT,350.00,1,2024-02-10,2024-03-10,EXPIRE,3
4,CLASSIQUE,290.00,12,2024-03-05,2025-03-05,ACTIF,4
5,JEUNE,220.00,3,2024-03-12,2024-06-12,SUSPENDU,5
6,CLASSIQUE,300.00,12,2024-04-01,2025-04-01,ACTIF,6
7,SANS_ENGAGEMENT,360.00,1,2024-04-08,2024-05-08,EXPIRE,7
8,JEUNE,230.00,6,2024-04-20,2024-10-20,ACTIF,8
9,CLASSIQUE,295.00,12,2024-05-02,2025-05-02,ACTIF,9
10,SANS_ENGAGEMENT,340.00,1,2024-05-12,2024-06-12,EXPIRE,10
11,CLASSIQUE,285.00,12,2024-06-01,2025-06-01,ACTIF,11
12,JEUNE,250.00,6,2024-06-15,2024-12-15,ACTIF,12
13,CLASSIQUE,290.00,12,2024-07-03,2025-07-03,SUSPENDU,13
14,SANS_ENGAGEMENT,345.00,1,2024-07-10,2024-08-10,EXPIRE,14
15,JEUNE,235.00,6,2024-08-01,2025-02-01,ACTIF,15
16,CLASSIQUE,310.00,12,2024-08-20,2025-08-20,ACTIF,16
17,SANS_ENGAGEMENT,355.00,1,2024-09-02,2024-10-02,EXPIRE,17
18,JEUNE,245.00,6,2024-09-12,2025-03-12,ACTIF,18
19,CLASSIQUE,300.00,12,2024-10-05,2025-10-05,ACTIF,19
20,JEUNE,240.00,6,2024-10-18,2025-04-18,ACTIF,20
21,SANS_ENGAGEMENT,360.00,1,2024-11-03,2024-12-03,EXPIRE,21
22,CLASSIQUE,295.00,12,2024-11-15,2025-11-15,ACTIF,22
23,JEUNE,230.00,6,2024-12-01,2025-06-01,ACTIF,23
24,SANS_ENGAGEMENT,350.00,1,2024-12-10,2025-01-10,EXPIRE,24
25,CLASSIQUE,305.00,12,2025-01-05,2026-01-05,ACTIF,25
26,JEUNE,235.00,6,2025-01-20,2025-07-20,ACTIF,26
27,CLASSIQUE,315.00,12,2025-02-04,2026-02-04,ACTIF,27
28,SANS_ENGAGEMENT,345.00,1,2025-02-12,2025-03-12,EXPIRE,28
29,JEUNE,240.00,6,2025-02-25,2025-08-25,ACTIF,29
30,CLASSIQUE,295.00,12,2025-03-03,2026-03-03,ACTIF,30
31,SANS_ENGAGEMENT,355.00,1,2025-03-14,2025-04-14,EXPIRE,31
32,JEUNE,250.00,6,2025-03-28,2025-09-28,SUSPENDU,32
33,CLASSIQUE,300.00,12,2025-04-02,2026-04-02,ACTIF,33
34,JEUNE,245.00,6,2025-04-16,2025-10-16,ACTIF,34
35,SANS_ENGAGEMENT,365.00,1,2025-04-25,2025-05-25,EXPIRE,35
36,CLASSIQUE,290.00,12,2025-05-05,2026-05-05,ACTIF,36
37,JEUNE,235.00,6,2025-05-20,2025-11-20,ACTIF,37
38,SANS_ENGAGEMENT,350.00,1,2025-06-01,2025-07-01,EXPIRE,38
39,CLASSIQUE,305.00,12,2025-06-12,2026-06-12,ACTIF,39
40,JEUNE,240.00,6,2025-06-25,2025-12-25,ACTIF,40
41,SANS_ENGAGEMENT,360.00,1,2025-07-03,2025-08-03,EXPIRE,41
42,CLASSIQUE,295.00,12,2025-07-18,2026-07-18,ACTIF,42
43,JEUNE,230.00,6,2025-08-02,2026-02-02,ACTIF,43
44,SANS_ENGAGEMENT,355.00,1,2025-08-12,2025-09-12,EXPIRE,44
45,CLASSIQUE,310.00,12,2025-09-05,2026-09-05,ACTIF,45
46,JEUNE,250.00,6,2025-09-22,2026-03-22,ACTIF,46
47,SANS_ENGAGEMENT,365.00,1,2025-10-01,2025-11-01,EXPIRE,47
48,CLASSIQUE,300.00,12,2025-10-15,2026-10-15,ACTIF,48
49,JEUNE,245.00,6,2025-11-03,2026-05-03,ACTIF,49
50,CLASSIQUE,305.00,12,2025-11-18,2026-11-18,ACTIF,50
